chassisCode,engineCode,arrivedToInventoryAt,plateNumber
YM223433,EN189042,2023-05-15 12:00:00,67B2-39023
YM334534,EN290143,2023-05-16 12:00:00,67B2-39024
YM445635,EN301244,2023-05-17 12:00:00,67B2-39025
YM556736,EN41245,2023-05-18 11:44:23,67B2-39026
YM667837,EN52346,2023-05-19 16:42:33,67B2-39027
YM778938,EN634457,2023-05-20 16:44:32,67B2-39028
YM889039,EN734568,2023-05-21 16:45:31,67B2-39029
YM989039,EN845679,2023-05-22 16:46:30,67B2-39030
YM090140,EN956780,2023-05-23 16:47:29,67B2-39031
YM101241,EN067891,2023-05-24 16:48:28,67B2-39031
